Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales
Megamania,2600,1981,Shooter,Activision,1.03,0.06,0,0.01
Jungle Hunt,2600,1982,Platform,Atari,1.03,0.06,0,0.01
Joust,2600,1982,Platform,Atari,1.01,0.06,0,0.01
Cosmic Ark,2600,1981,Shooter,Imagic,0.99,0.05,0,0.01
Defender,2600,1980,Misc,Atari,0.99,0.05,0,0.01
Air-Sea Battle,2600,N/A,Shooter,Atari,0.91,0.06,0,0.01
Donkey Kong Junior,2600,1981,Platform,Atari,0.9,0.05,0,0.01
Spider-Man,2600,1981,Action,Parker Bros.,0.87,0.05,0,0.01
Enduro,2600,1982,Misc,Quelle,0.81,0.05,0,0.01
Custer's Revenge,2600,1981,Action,Mystique,0.76,0.05,0,0.01
Alien,2600,1981,Action,20th Century Fox Video Games,0.74,0.04,0,0.01
Yars' Revenge,2600,1982,Shooter,Atari,0.73,0.04,0,0.01
Jr. Pac-Man,2600,1983,Puzzle,Atari,0.72,0.05,0,0.01
Galaxian,2600,1982,Shooter,Atari,0.72,0.05,0,0.01
Air Raid,2600,1981,Action,Men-A-Vision,0.72,0.04,0,0.01
Boxing,2600,1980,Fighting,Activision,0.72,0.04,0,0.01
Crystal Castles,2600,1983,Action,Atari,0.72,0.04,0,0.01
Berzerk,2600,1981,Shooter,Atari,0.68,0.04,0,0.01
Kangaroo,2600,1982,Platform,Atari,0.67,0.04,0,0.01
King Kong,2600,1981,Action,Tigervision,0.65,0.04,0,0.01
Adventures of Tron,2600,1981,Action,Mattel Interactive,0.63,0.03,0,0.01
Beamrider,2600,1984,Racing,Activision,0.26,0.01,0,0
Flag Capture,2600,N/A,Action,Atari,0.25,0.02,0,0
Bridge,2600,1980,Misc,Activision,0.25,0.02,0,0
RealSports Football,2600,1981,Sports,Atari,0.24,0.01,0,0
Desert Falcon,2600,1987,Shooter,Atari,0.24,0.01,0,0
Porky's,2600,1982,Action,20th Century Fox Video Games,0.23,0.01,0,0
Front Line,2600,1981,Action,Taito,0.22,0.01,0,0
Checkers,2600,1980,Misc,Atari,0.22,0.01,0,0
Rampage,2600,1988,Action,Activision,0.22,0.01,0,0
Dark Cavern,2600,1981,Shooter,Mattel Interactive,0.22,0.01,0,0
Deadly Duck,2600,1981,Shooter,20th Century Fox Video Games,0.21,0.01,0,0
Assault,2600,1982,Action,Bomb,0.21,0.01,0,0
Reactor,2600,1981,Action,Parker Bros.,0.21,0.01,0,0
Crazy Climber,2600,1981,Action,Atari,0.21,0.01,0,0
Ghostbusters II,2600,N/A,Action,Activision,0.2,0.01,0,0
Breakaway IV,2600,N/A,Puzzle,Sears,0.2,0.01,0,0
RealSports Baseball,2600,1981,Sports,Atari,0.2,0.01,0,0
International Soccer,2600,1981,Sports,Mattel Interactive,0.18,0.01,0,0
Mr. Do!'s Castle,2600,1983,Action,Parker Bros.,0.15,0.01,0,0
Death Trap,2600,1982,Action,Avalon Interactive,0.15,0.01,0,0
Armor Ambush,2600,1981,Action,Mattel Interactive,0.15,0.01,0,0
Pressure Cooker,2600,1982,Action,Activision,0.14,0.01,0,0
Home Run,2600,N/A,Sports,Atari,0.14,0.01,0,0
Klax,2600,1989,Puzzle,Atari,0.14,0.01,0,0
Krull,2600,1982,Action,Atari,0.13,0.01,0,0
RealSports Volleyball,2600,1981,Sports,Atari,0.12,0.01,0,0
Super Football,2600,1987,Sports,Atari,0.07,0,0,0
Super Baseball,2600,1987,Sports,Atari,0.07,0,0,0
Policenauts,3DO,1995,Adventure,Konami Digital Entertainment,0,0,0.06,0
Bust-A-Move,3DO,1994,Puzzle,Micro Cabin,0,0,0.02,0
Sotsugyou II: Neo Generation Special,3DO,1995,Simulation,Imageworks,0,0,0.02,0
Pokemon X/Pokemon Y,3DS,2013,Role-Playing,Nintendo,5.28,4.19,4.35,0.78
Mario Kart 7,3DS,2011,Racing,Nintendo,5.03,4.02,2.69,0.91
Pokemon Omega Ruby/Pokemon Alpha Sapphire,3DS,2014,Role-Playing,Nintendo,4.35,3.49,3.1,0.74
Super Mario 3D Land,3DS,2011,Platform,Nintendo,4.89,3,2.14,0.78
New Super Mario Bros. 2,3DS,2012,Platform,Nintendo,3.66,3.14,2.47,0.63
Animal Crossing: New Leaf,3DS,2012,Simulation,Nintendo,2.03,2.36,4.39,0.39
Super Smash Bros. for Wii U and 3DS,3DS,2014,Fighting,Nintendo,3.27,1.37,2.43,0.48
Pokemon Sun/Moon,3DS,2016,Role-Playing,Nintendo,2.98,1.45,2.26,0.45
Tomodachi Life,3DS,2013,Simulation,Nintendo,0.97,2.11,1.9,0.24
Luigi's Mansion: Dark Moon,3DS,2013,Action,Nintendo,1.8,1.39,1.11,0.29
The Legend of Zelda: Ocarina of Time,3DS,2011,Action,Nintendo,2.09,1.31,0.62,0.31
Monster Hunter 4 Ultimate,3DS,2014,Role-Playing,Nintendo,0.68,0.48,2.62,0.11
Nintendogs + cats,3DS,2011,Simulation,Nintendo,1.44,1.41,0.73,0.27
Monster Hunter 4,3DS,2013,Role-Playing,Capcom,0,0,3.44,0
Monster Hunter X,3DS,2015,Action,Capcom,0.27,0.21,2.79,0.05
Yokai Watch 2 Ganso/Honke,3DS,2014,Role-Playing,Nintendo,0.09,0,3.18,0.01
The Legend of Zelda: A Link Between Worlds,3DS,2013,Action,Nintendo,1.4,1.01,0.46,0.23
Animal Crossing: Happy Home Designer,3DS,2015,Simulation,Nintendo,0.51,1.02,1.4,0.12
Monster Hunter Tri,3DS,2011,Role-Playing,Nintendo,0.46,0.29,1.96,0.07
Yokai Watch 2 Shinuchi,3DS,2014,Role-Playing,Level 5,0,0,2.68,0
The Legend of Zelda: Majora's Mask 3D,3DS,2015,Action,Nintendo,1.15,0.55,0.47,0.17
Paper Mario: Sticker Star,3DS,2012,Role-Playing,Nintendo,1.12,0.41,0.64,0.14
Yokai Watch Busters,3DS,2015,Action,Level 5,0,0,2.29,0
Yokai Watch,3DS,2013,Role-Playing,Nintendo,0.25,0.45,1.33,0.05
Mario & Luigi: Dream Team,3DS,2013,Role-Playing,Nintendo,0.89,0.58,0.46,0.14
Fire Emblem: Awakening,3DS,2012,Role-Playing,Nintendo,0.9,0.45,0.54,0.13
Mario Party: Island Tour,3DS,2013,Misc,Nintendo,0.62,0.64,0.55,0.11
Donkey Kong Country Returns,3DS,2013,Platform,Nintendo,0.74,0.62,0.41,0.13
Kirby: Triple Deluxe,3DS,2014,Platform,Nintendo,0.61,0.34,0.79,0.09
Professor Layton and the Mask of Miracle,3DS,2011,Puzzle,Nintendo,0.32,0.97,0.36,0.13
 Fire Emblem Fates,3DS,2015,Role-Playing,Nintendo,0.81,0.23,0.52,0.11
Kingdom Hearts 3D: Dream Drop Distance,3DS,2012,Action,Square Enix,0.88,0.26,0.34,0.1
Puzzle & Dragons,3DS,2013,Role-Playing,GungHo,0,0,1.51,0
LEGO City Undercover,3DS,2013,Platform,Nintendo,0.52,0.77,0.07,0.11
Dragon Quest VII: Warriors of Eden,3DS,2013,Role-Playing,Square Enix,0.06,0.09,1.3,0.01
Yoshi's New Island,3DS,2014,Platform,Nintendo,0.48,0.53,0.28,0.09
Bravely Default: Flying Fairy,3DS,2012,Role-Playing,Nintendo,0.5,0.32,0.49,0.08
Yokai Watch 3,3DS,2016,Action,Level 5,0,0,1.33,0
Kid Icarus: Uprising,3DS,2012,Action,Nintendo,0.48,0.35,0.36,0.07
Pokemon Mystery Dungeon: Gates to Infinity,3DS,2012,Role-Playing,Nintendo,0.44,0.29,0.47,0.07
Pokemon Super Mystery Dungeon,3DS,2015,Role-Playing,Nintendo,0.48,0.35,0.34,0.08
Super Street Fighter IV: 3D Edition,3DS,2011,Fighting,Capcom,0.55,0.44,0.14,0.09
Mario & Sonic at the London 2012 Olympic Games,3DS,2012,Sports,Sega,0.18,0.64,0.27,0.09
Pokemon Rumble Blast,3DS,2011,Action,Nintendo,0.47,0.26,0.35,0.07
LEGO Star Wars III: The Clone Wars,3DS,2011,Action,LucasArts,0.61,0.43,0,0.09
Fantasy Life,3DS,2012,Role-Playing,Nintendo,0.33,0.37,0.37,0.06
The Legend of Zelda: Tri Force Heroes,3DS,2015,Action,Nintendo,0.53,0.33,0.17,0.08
Sonic Generations,3DS,2011,Platform,Sega,0.44,0.47,0.01,0.09
Dragon Quest Monsters: Terry's Wonderland 3D,3DS,2012,Role-Playing,Square Enix,0,0,0.96,0
Mario Tennis Open,3DS,2012,Sports,Nintendo,0.26,0.29,0.34,0.05
PilotWings Resort,3DS,2011,Simulation,Nintendo,0.4,0.36,0.13,0.07
Star Fox 64 3D,3DS,2011,Shooter,Nintendo,0.48,0.27,0.13,0.06
Kirby: Planet Robobot,3DS,2016,Action,Nintendo,0.28,0.14,0.47,0.04
Disney Magical World,3DS,2013,Adventure,Nintendo,0.17,0.2,0.53,0.03
Harvest Moon 3D: A New Beginning,3DS,2012,Action,Marvelous Entertainment,0.41,0.17,0.3,0.05
LEGO Marvel Super Heroes,3DS,2013,Action,Warner Bros. Interactive Entertainment,0.42,0.36,0.04,0.07
Resident Evil: Revelations,3DS,2012,Action,Capcom,0.3,0.22,0.3,0.05
Monster Strike 3DS,3DS,2015,Action,"mixi, Inc",0,0,0.87,0
Dragon Quest VIII: Journey of the Cursed King,3DS,2015,Role-Playing,Square Enix,0,0,0.86,0
Tales of the Abyss,3DS,2011,Role-Playing,Namco Bandai Games,0.43,0.19,0.14,0.06
Professor Layton vs Phoenix Wright: Ace Attorney,3DS,2012,Puzzle,Level 5,0.2,0.26,0.3,0.04
Dragon Quest Monsters 2,3DS,2014,Role-Playing,Square Enix,0,0,0.79,0
The Sims 3,3DS,2011,Simulation,Electronic Arts,0.3,0.37,0.03,0.07
Mario & Luigi: Paper Jam,3DS,2015,Role-Playing,Nintendo,0.16,0.29,0.26,0.04
Professor Layton and the Azran Legacy,3DS,2013,Puzzle,Nintendo,0,0.48,0.25,0.03
Skylanders: Spyro's Adventure,3DS,2011,Action,Activision,0.32,0.2,0,0.05
Rune Factory 4,3DS,2012,Role-Playing,Xseed Games,0.32,0,0.21,0.03
Xenoblade Chronicles,3DS,2015,Role-Playing,Nintendo,0.27,0.14,0.12,0.04
Yokai Sangokushi,3DS,2016,Action,Level 5,0,0,0.56,0
Final Fantasy Explorers,3DS,2014,Role-Playing,Square Enix,0.16,0.07,0.28,0.02
Inazuma Eleven GO,3DS,2011,Role-Playing,Nintendo,0,0.05,0.48,0
